ISO_Week,Midwest_Prevalence,Northeast_Prevalence,South_Prevalence,West_Prevalence,National_Prevalence
1,0.031272617549518995,0.02672921416278281,0.022731542654847506,0.02018707522769682,0.024521096746502977
2,0.025391302705556205,0.022284478210462113,0.01984678999710678,0.016122974029089094,0.02105793837331439
3,0.020419087168021863,0.018544815399603225,0.0186142188011553,0.014024929873734404,0.01794807723971598
4,0.021217573400919787,0.0192373019196615,0.019794343517980217,0.013260403062231179,0.017950572017561093
5,0.019111672857433565,0.01649804948215578,0.019312525051085425,0.01457991644145724,0.01755751016159966
6,0.019777137710792956,0.013867739749069298,0.019650716822786064,0.01509604548570307,0.017368627411226426
7,0.02093416109543883,0.013756841598894185,0.018021109704353572,0.01365623813773695,0.016678047326680996
8,0.016062221397460195,0.011947458546773919,0.01769257719643438,0.012687440637218403,0.014554964712524184
9,0.014688614356204804,0.008920496234769038,0.015428327491857905,0.01058900000367068,0.012495236756293783
10,0.0136335088129465,0.007352363528713056,0.013787970055693407,0.009757401887191035,0.011234359348792852
11,0.012442412870168916,0.007721970742351358,0.013883111310043288,0.009051234417826475,0.0107285435461638
12,0.010698079655028402,0.007469493714883293,0.012058974174926984,0.00812724668834292,0.009761302472815307
13,0.009734664165967022,0.005526657692435408,0.010589663008282828,0.007558787231008563,0.008651490810678114
14,0.009002696088465158,0.005922419094742415,0.009299218606877014,0.006716950160040952,0.007829542232764976
15,0.007865797558952078,0.00577536638395695,0.0070585330207048646,0.006086142602016952,0.006813694109376879
16,0.007132618636093899,0.005424141080098858,0.007198120245846671,0.005495202170312966,0.006347421767524322
17,0.006439232005695117,0.005292962048051293,0.006617296526729563,0.0059723594481845815,0.00614469881437793
18,0.005376341366502055,0.004794016295821372,0.005749537814906735,0.006817609533076388,0.005607951904110467
19,0.005352716915523407,0.004263482962761056,0.004985415736408492,0.006333851385012268,0.0052962251324171605
20,0.004761195557601452,0.0040653660265513505,0.005097656439799027,0.006988206627239604,0.005118366277626839
21,0.0044325358896874015,0.003612798651284924,0.0050142253094194724,0.007292781615636194,0.004992980491483107
22,0.005369830317670422,0.004033371268621347,0.006098424242737407,0.008860149610047727,0.005822929688476273
23,0.005253361027891306,0.004332763930756606,0.005677080750902879,0.010844829906831735,0.006220471201419081
24,0.006221493851115802,0.0049672913203833635,0.007206181709394764,0.010348851230077515,0.006743793380240705
25,0.006455422125567829,0.00549422935882486,0.009026406701128153,0.0148078658426104,0.00819645764045257
26,0.007996681480998934,0.007687944774405682,0.011180721837140134,0.01609151001400442,0.010121663277072916
27,0.009231640329871895,0.00896146239984946,0.013362925168209812,0.01697506622333157,0.011945402729116886
28,0.01259687697497062,0.01078292827050292,0.014781589579079126,0.021965087003145093,0.014527535607819999
29,0.013483850701957326,0.012047229868667709,0.01920835165623679,0.023486422100185277,0.016536266693711478
30,0.015836239751104035,0.01388361743727345,0.021942341435344716,0.024799237997496414,0.01847392190965873
31,0.018563508508623053,0.017651717083323075,0.026241206999442497,0.029922285847558704,0.022123183205574968
32,0.017861302178749504,0.01915250013522516,0.028404389208349718,0.029574390328708955,0.023200811789826616
33,0.020560434325124687,0.0187634732282914,0.026753121063130502,0.02871268612525173,0.023169529489115003
34,0.023737738974324036,0.018248933560526034,0.028496791613352387,0.025672759176969647,0.024412118495589486
35,0.025962723797418822,0.019720983585716157,0.026246720515448154,0.025690618701878866,0.024507767819906736
36,0.025132551397951324,0.018403422362040647,0.024610026080283093,0.026190868806529252,0.023840642460348976
37,0.023551467943998608,0.019374962747687723,0.01874228432623269,0.02216101984941921,0.020854941975034586
38,0.01871059426905022,0.01744635782180692,0.015623029254392686,0.018097398625497616,0.01741386157045978
39,0.014914941901912407,0.016250796822957873,0.012197870052171997,0.0154067690876693,0.014311015118349165
40,0.010524973947775199,0.012573481828312801,0.009913421262884766,0.012846315965039802,0.011058524877723526
41,0.008704524792768656,0.010428757360919515,0.0076712667719898014,0.011834601164864466,0.009211058185102176
42,0.00834587517859956,0.009509631389622904,0.007756391850261745,0.010375000134920456,0.008917406415736262
43,0.009765959322977216,0.008689495786014518,0.00765640971982893,0.009119079338723088,0.00897440681338932
44,0.010204640258196701,0.008366814313694192,0.006901237768615953,0.009041308649174495,0.008990289511185988
45,0.011433955358494447,0.007575586489839893,0.0067767059239451964,0.01019287778058798,0.009081644091650232
46,0.012892137869586357,0.008018723440166527,0.0067189885597675305,0.011337968890968303,0.009750881361366634
47,0.014680680812454874,0.010450222268833754,0.007766591884281826,0.011026198253381315,0.010589995859897164
48,0.01603113156404825,0.009717904173927087,0.008003036852661422,0.009680659070413279,0.010527368288428466
49,0.019246867842914656,0.01211989747901844,0.010245883506659663,0.01299968190931296,0.013661926380170088
50,0.023641011223758956,0.015651157460000367,0.012215042952979935,0.014100981206698721,0.01630293851309309
51,0.02751843540534175,0.017744305469244232,0.01574306944844914,0.01584047220985351,0.019467534750284378
52,0.030809975618724953,0.026862478201823768,0.018311578729245756,0.0160776146740478,0.022904900244623033
